Id	type
C(C(C(C(C(CO)O)O)O)O)=O	1
C(C(CC(C(CO)O)O)=O)=O	1
C(C(C1C(C(C(O)O1)O)O)O)O	1
C(CC(C=O)O)(C(CO)O)=O	1
C(C(C(C(C(CO)O)O)O)O)(O)=O	1
C(CO)=O	1
C(C(C(CC(CO)=O)O)O)=O	1
C(CC(C(C(CO)O)O)=O)=O	1
C(CO)(C(C(C(CO)O)O)O)=O	1
C(C(C(CO)O)O)=O	1
C(C1C(C(C(C(O)O1)O)O)O)O	1
C1C(C(C(C(C(O)O1)O)O)O)O	1
C(C(C(CC(CO)O)=O)O)=O	1
O	1
C(C(C(C=O)O)O)(CCO)=O	1
C(CC(C(C(C=O)O)O)O)=O	1
C(C(C(C(C(C)=O)O)O)O)=O	1
C(C(C(C(C(CO)O)O)O)O)O	1
19_0	2
21_0	2
4_1	2
15_0	2
9_1	2
27_0	2
11_0	2
23_0	2
13_0	2
29_0	2
9_0	2
6_0	2
4_0	2
17_0	2
25_0	2
31_0	2
